precipitation,delta_surface_storage,delta_storage_canopy,delta_storage_snow,delta_storage_subsurface,evaptranssum,evaporation,surface_runoff,transpiration,deep_drainage,recharge
0,0,1.32013147909623e-10,0,-0.0430719278215292,-0.0404729663177057,0.0404729661856926,0,0,0.00236713035344681,0.00282444482779085
0,0,-2.1533588131514e-11,0,-0.0435210970481421,-0.0409193062241592,0.0388060530122077,0,0.0021132532334851,0.00236577086139749,0.00282443818709212
0,0,-1.61658031304311e-11,0,-0.0415675759008991,-0.0389484536440343,0.0371811185276985,0,0.00176733513250159,0.00236441480567731,0.00282443119297627
0,0,-2.22597118202281e-11,0,-0.0382216910306852,-0.0355747166759951,0.0342373917567289,0,0.0013373249415259,0.00236306214324416,0.00282442369980501
0,0,-9.67160575628301e-12,0,-0.0354791485260648,-0.0328107405250063,0.0316329545517751,0,0.0011777859829029,0.00236171282280156,0.00282441549704631
0,0,-8.48058369444505e-12,0,-0.0330364895512503,-0.0303505202295517,0.0293176497160836,0,0.00103287052194868,0.00236036679418522,0.00282440631697336
0,0,-1.25209227327667e-11,0,-0.0298574404296232,-0.0271511003219682,0.0263368228691171,0,0.000814277465372067,0.00235902401355966,0.00282439584312983
0,0,-7.557284737296e-12,0,-0.0277443525419585,-0.0250257174334016,0.0243492433502129,0,0.000676474090745993,0.00235768443440673,0.00282438371893328
0,0,-6.68812260139199e-12,0,-0.025895937336827,-0.0231674515697635,0.0226183946029614,0,0.000549056973490271,0.0023563480107163,0.00282436955607195
0,0,-8.32079942716935e-12,0,-0.023749343792133,-0.0210106740105599,0.0206219613379242,0,0.000388712680956517,0.00235501470447851,0.00282435294248016
0,0,-6.74634919581372e-12,0,-0.0213026782998895,-0.0185539939289331,0.0182936621537715,0,0.000260331781907895,0.00235368448623756,0.00282433344972386
0,0,-5.70102973279139e-12,0,-0.0191852855969046,-0.01642925993919,0.0162863385141149,0,0.000142921430776163,0.00235235732515627,0.00282431063953169
0,0,2.341445968042e-12,0,-0.0194291255902499,-0.016673214229772,0.0164793089933769,0,0.000193905234053622,0.00235103310697742,0.00282428406815368
0,0,1.29897809021218e-11,0,-0.0328562752047219,-0.0301420063255603,0.0153893416624451,0,0.0147526646501255,0.00234971092900566,0.00282425328715261
0,0,1.88859562495501e-11,0,-0.0643464959921403,-0.0618077016536311,0.016918221546375,0,0.0448894800883702,0.00234838958514978,0.00282421786000558
0,0,3.49652992772056e-11,0,-0.127319794172308,-0.124495862943884,0.0229420814515482,0,0.10155378145737,0.00234706696351703,0.00282417235724888
0,0,8.05711949869018e-13,0,-0.164404861413459,-0.161581222391323,0.0207099473254621,0,0.140871275065055,0.0023457408407276,0.00282412203835162
0,0,1.71138309341846e-11,0,-0.21145958481975,-0.208636551489741,0.0252426697660659,0,0.183393881706561,0.0023444093701742,0.0028240662372672
0,0,5.88071098978418e-11,0,-0.271752836453288,-0.268931333863144,0.0402395589134291,0,0.228691774890908,0.00234307062108329,0.00282400438744372
0,0,-1.57270153931104e-11,0,-0.26872869002591,-0.265907081696939,0.031988685467361,0,0.233918396245304,0.00234172453137043,0.00282393599796283
0,0,-1.2290971522397e-11,0,-0.247985871066248,-0.245163729260526,0.0241335683040258,0,0.221030160968791,0.00234037186461492,0.00282386064017613
0,0,1.91520858121544e-12,0,-0.205756975805343,-0.202934124409731,0.0216724658347838,0,0.181261658573032,0.00233901458929808,0.00282377793590226
0,0,-2.60010775930685e-11,0,-0.136629020086275,-0.133805584426353,0.016318464831311,0,0.117487119621043,0.00233765571999551,0.00282368754857697
0,0,-8.46061824074794e-11,0,-0.00925106777049223,-0.00647682050343124,0.00545256992527433,0,0.00102425066276309,0.00233630082944508,0.00282359986986273
0,0,-1.39068978947344e-11,0,-0.00785323463242094,-0.00507818323293969,0.00496944189182061,0,0.000108741355025972,0.00233494993404552,0.00282350224303785
0,0,2.26505702296652e-14,0,-0.00789182966627777,-0.00511616357808172,0.00500654983561438,0,0.000109613742444679,0.00233360266842774,0.0028233949229245
0,0,5.33593526628634e-12,0,-0.0101660270215689,-0.00738808692562546,0.00702942977808224,0,0.000358657142207279,0.00233225840366502,0.00282327801877467
0,0,4.03769838849651e-12,0,-0.0127428895038975,-0.0099633610921062,0.00951719901736815,0,0.000446162070700347,0.00233091717976223,0.00282315160850602
0,0,1.20387859994371e-12,0,-0.0133703504852747,-0.0105905445994072,0.0101281826204202,0,0.000462361977783106,0.00232957932942262,0.00282301575147848
0,0,8.22892281194977e-13,0,-0.0139083235235375,-0.011128403052314,0.0106625261919347,0,0.000465876859556439,0.00232824481553408,0.00282287044637252
0,0,-4.32891143793569e-13,0,-0.0143283534403054,-0.0115483833367922,0.0111210781805327,0,0.000427305156692418,0.00232691359989941,0.00282271567418811
0,0,-2.01825070253551e-12,0,-0.0136537861130819,-0.0108730799296234,0.010509219391602,0,0.000363860540039651,0.00232558571940571,0.00282255141743047
0,0,1.76047637820482e-12,0,-0.0143348564706685,-0.0115543349308193,0.0111563690381656,0,0.00039796589089323,0.00232426100478513,0.00282237763351183
0,0,8.85683841735685e-12,0,-0.0182160381623362,-0.015441815480656,0.0148843518203976,0,0.000557463651401639,0.00232293932405735,0.00282219428594556
0,0,-6.47948181332109e-12,0,-0.0160023914208978,-0.0132234844051783,0.0128173168172786,0,0.0004061675943791,0.00232162079672588,0.00282200137796912
0,0,-2.51373865259897e-12,0,-0.0156428799632522,-0.0128632530656757,0.0125360221234048,0,0.000327230944784681,0.00232030534666138,0.00282179889687874
0,0,1.13885335354249e-11,0,-0.01918505812273,-0.0164130939441236,0.0158802659307783,0,0.000532828001956868,0.00231899285585775,0.0028215868344881
0,0,8.46211732610506e-12,0,-0.038451055218502,-0.0357412690815856,0.0149795563370012,0,0.0207617127361223,0.00231768231302902,0.00282136517401763
0,0,1.96932030859541e-11,0,-0.0728923060187299,-0.0704087327025649,0.0170619009422698,0,0.0533468317406018,0.00231637249746346,0.00282113397159649
0,0,4.17767258035901e-11,0,-0.144106493666186,-0.141285929969476,0.0237679368090016,0,0.117517993118698,0.00231506111209286,0.00282086509159332
0,0,3.06323694289557e-11,0,-0.194723817210615,-0.191904064092977,0.032913446729146,0,0.158990617333198,0.0023137455732598,0.00282059354245429
0,0,4.05632143049751e-11,0,-0.250520097679782,-0.247701953847721,0.0442772579626493,0,0.203424695844509,0.00231242398669462,0.00282031735610151
0,0,6.000418237568e-11,0,-0.304504411028574,-0.301689131085751,0.0555694238626011,0,0.246119707163146,0.00231109457958962,0.00282003518407886
0,0,2.8380887114272e-11,0,-0.311162405073901,-0.308348022360784,0.0566727383539213,0,0.251675283978482,0.00230975728956748,0.00281974611367086
0,0,2.40960139211502e-11,0,-0.29247537602123,-0.289660274958341,0.0523157363804662,0,0.237344538553779,0.00230841294913843,0.00281944954048804
0,0,-7.87681295662065e-13,0,-0.226526296859902,-0.223708865360735,0.043184907230435,0,0.180523958131088,0.00230706427974687,0.00281914507814243
0,0,-5.42712762972576e-11,0,-0.151138880223243,-0.148320448864544,0.0331021504051492,0,0.115218298513666,0.00230571432185466,0.00281883249391168
0,0,-1.06921670701094e-10,0,-0.0234176910162205,-0.0206525952521671,0.0179188929763761,0,0.00273370238271266,0.00230436648033914,0.00281854525680532
0,0,-9.18795168661579e-11,0,-0.0112254142823076,-0.00845062807811589,0.00759214061604507,0,0.000858487553950342,0.00230302344266468,0.00281824227051581
0,0,-3.8467507763487e-12,0,-0.0111624593009765,-0.00838719100538001,0.0076863679480061,0,0.00070082306122066,0.00230168415594756,0.00281792541553642
0,0,-3.59023937776696e-12,0,-0.0108838412911609,-0.00810869738214727,0.00754936577278449,0,0.000559331612953018,0.00230034863721484,0.00281759626374934
0,0,1.15155052767392e-11,0,-0.0136791983773037,-0.0108988067478016,0.0101116245802852,0,0.00078718215600085,0.00229901602639251,0.00281725578704695
0,0,-1.49841285881197e-11,0,-0.0100386888325374,-0.00726506022155656,0.00682589048970876,0,0.000439169746831931,0.0022976879873837,0.00281690531411824
0,0,-3.11151822017079e-12,0,-0.00924169000109032,-0.0064696584526301,0.00613012278505099,0,0.000339535670690634,0.00229636375399213,0.00281654537023493
2.520684,0.0141466057126332,0.139458218665724,0,1.97213907524656,2.36549000461945,0.0157357767148296,0.376388293347903,0,0.00229504307891885,0.0028161280221471
7.741008,0.022726540239667,0.00176726779140302,0,5.80767576617791,7.70338808256559,0.0358526496430149,1.87017006263021,0,0.00229372581322205,0.00281571477769263
3.373884,-0.0142067137341993,-0.000810854811792411,0,2.51894107116141,3.3449566705298,0.0297381842819896,0.837407010546154,0,0.00229241189820245,0.00281530222432741
4.9482,0.00569750889055499,0.00607802976899108,0,3.70205294282323,4.92065377006974,0.0214682001612682,1.21008843532471,0,0.00229110127640096,0.0028148880381625
8.253504,0.349033122986918,-0.00139242587592531,0,5.16539028068064,8.23139975134033,0.0234966745355886,2.71416188355815,0,0.00228979389157131,0.00281447065458782
1.850292,-0.361320977868863,-2.53032711124146e-05,0,1.70752307711018,1.82564759714699,0.0246697061241202,0.476631504590287,0,0.00228848968865531,0.00281404901865778
0.000216,-0.0146423496501065,0.00868890562954833,0,-0.0145554603286655,-0.0138097391709456,0.00533683354139726,0.0125744493037326,0,0.00228718861375648,0.00281362247450733
0.0666,0.000402602444774375,-0.0285907740409533,0,0.036990429456182,0.0528559724746657,0.0423348015662876,0.0126497476459943,0,0.00228589061411627,0.00281319061303086
