precipitation,delta_surface_storage,delta_storage_canopy,delta_storage_snow,delta_storage_subsurface,evaptranssum,evaporation,surface_runoff,transpiration,deep_drainage,recharge
0,0,0,0,-0.000346504823937721,0,0,0,0,-3.18946956865563e-05,0.000346877474347455
0,0,0,0,-0.000346506563801086,0,0,0,0,-3.18892388418184e-05,0.000346878637714673
0,0,0,0,-0.000346508170878224,0,0,0,0,-3.18837812106949e-05,0.000346879653929355
0,0,0,0,-0.000346509657447314,0,0,0,0,-3.18783227976247e-05,0.000346880539477864
0,0,0,0,-0.000346511011230177,0,0,0,0,-3.18728636070362e-05,0.00034688129530384
0,0,0,0,-0.000346512216310657,0,0,0,0,-3.18674036433462e-05,0.000346881909937063
0,0,0,0,-0.000346513245403912,0,0,0,0,-3.18619429109615e-05,0.000346882362049556
0,0,0,0,-0.000346514065313386,0,0,0,0,-3.18564814142779e-05,0.000346882622558371
0,0,0,0,-0.000346514642842521,0,0,0,0,-3.18510191576813e-05,0.000346882656366228
0,0,0,0,-0.000346514931607089,0,0,0,0,-3.1845556145546e-05,0.000346882423810018
0,0,0,0,-0.000346514886132354,0,0,0,0,-3.18400923822364e-05,0.000346881881871131
0,0,0,0,-0.000346514463217318,0,0,0,0,-3.18346278721064e-05,0.000346880985189922
0,0,0,0,-0.00034651361147553,0,0,0,0,-3.18291626194988e-05,0.000346879686917367
0,0,0,0,-0.000348352342371072,-1.83993128748219e-06,1.83993128748219e-06,0,0,-3.18236966301188e-05,0.00034687793943108
0,0,0,0,-0.00162717022840297,-0.00128088792241024,0.00128088792241024,0,0,-3.18182306311058e-05,0.000346875695232203
0,0,0,0,-0.00444480548867432,-0.00409999184649372,0.00409999184649372,0,0,-3.18127638369545e-05,0.000346872906667891
0,0,0,0,-0.0104230254955837,-0.0100862988929751,0.0100862988929751,0,0,-3.1807296252217e-05,0.000346869527018882
0,0,0,0,-0.0150553269977536,-0.0147294254507161,0.0147294254507161,0,0,-3.18018279309297e-05,0.000346865510696238
0,0,0,0,-0.0210713196947836,-0.0207651795345317,0.0207651795345317,0,0,-3.17963588830831e-05,0.00034686081347829
0,0,0,0,-0.0188484623772638,-0.0185336021559227,0.0185336021559227,0,0,-3.17908891272187e-05,0.000346855392771091
0,0,0,0,-0.0112529790276312,-0.0109173532324755,0.0109173532324755,0,0,-3.17854186853516e-05,0.000346849207796208
0,0,0,0,-0.000346485773661698,0,0,0,0,-3.17799469368797e-05,0.000346842218916571
0,0,0,0,-0.000346478158917307,0,0,0,0,-3.17744744887756e-05,0.000346834389933179
0,0,0,0,-0.000346469650139625,0,0,0,0,-3.17690013452697e-05,0.000346825686197782
0,0,0,0,-0.000346460215496336,0,0,0,0,-3.17635275105824e-05,0.000346816075267044
0,0,0,0,-0.000346449826793105,0,0,0,0,-3.17580529889243e-05,0.000346805526937203
0,0,0,0,-0.000346438459928322,0,0,0,0,-3.17525777844959e-05,0.00034679401325916
0,0,0,0,-0.000346426084888662,0,0,0,0,-3.17471019014872e-05,0.000346781508537251
0,0,0,0,-0.000346412686667463,0,0,0,0,-3.17416253440797e-05,0.000346767989313607
0,0,0,0,-0.000346398236160894,0,0,0,0,-3.17361481164433e-05,0.000346753434340648
0,0,0,0,-0.000346382722909766,0,0,0,0,-3.17306702227392e-05,0.000346737824543229
0,0,0,0,-0.000346366129178932,0,0,0,0,-3.17251916671183e-05,0.000346721142972402
0,0,0,0,-0.000346348437233246,0,0,0,0,-3.17197124537223e-05,0.000346703374752021
0,0,0,0,-0.000346329642070486,0,0,0,0,-3.17142325866823e-05,0.000346684507019612
0,0,0,0,-0.000346309724591265,0,0,0,0,-3.170875207012e-05,0.000346664528862549
0,0,0,0,-0.000346288687069318,0,0,0,0,-3.17032709081479e-05,0.00034664343125061
0,0,0,0,-0.000346266517226468,0,0,0,0,-3.16977891048682e-05,0.000346621206965794
0,0,0,0,-0.000346243207332009,0,0,0,0,-3.16923066643734e-05,0.000346597850529987
0,0,0,0,-0.00162693031006711,-0.00128093708640553,0.00128093708640553,0,0,-3.16868243616737e-05,0.000346573361575179
