precipitation,delta_surface_storage,delta_storage_canopy,delta_storage_snow,delta_storage_subsurface,evaptranssum,evaporation,surface_runoff,transpiration,deep_drainage,recharge
0,0,0,0,-0.0551732920598624,0,0,0,0,-0.000764341053535388,0.0553093394046626
0,0,0,0,-0.0551640797916662,0,0,0,0,-0.000764564591263461,0.0553008159700282
0,0,0,0,-0.055142885285477,0,0,0,0,-0.000764787330015404,0.0552838106093782
0,0,0,0,-0.0551096408980811,0,0,0,0,-0.000765009278222449,0.0552562063396775
0,0,0,0,-0.0551397009548964,-7.41671029162008e-05,7.41671029162008e-05,0,0,-0.000765230443665744,0.0552172799764937
0,0,0,0,-0.0558092114729334,-0.000792829553239317,0.000792829553239317,0,0,-0.000765450838741244,0.0551673897814865
0,0,0.00240255348449226,0,-0.0557559162825783,-0.000803660888796193,-0.00159889259569607,0,0,-0.000765670456199287,0.0551076133562087
0,0,0.00559216505182101,0,-0.0561159329372458,-0.00123193834412316,-0.00436022670769785,0,0,-0.000765889300184796,0.0550394161384427
0,0,0.00868522765219885,0,-0.0562875399664335,-0.00147902891256731,-0.00720619873963154,0,0,-0.000766107365734139,0.0549644089987317
0,0,0.0162530669404181,0,-0.0560921568462618,-0.00136586127233872,-0.0148872056680794,0,0,-0.000766324644724076,0.0548841811998248
0,0,0.0171602296886194,0,-0.0562592564861006,-0.00161547945875354,-0.0155447502298658,0,0,-0.000766541134765811,0.054800197465918
0,0,0.0177834768953805,0,-0.0562880482075343,-0.00172943417377666,-0.0160540427216038,0,0,-0.00076675682720306,0.054713751586571
0,0,0.0295955567130299,0,-0.0555946095964828,-0.00112671674222151,-0.0284688399708083,0,0,-0.000766971707031316,0.0546259492712628
0,0,0.0248823962519478,0,-0.0557800521328318,-0.00139672253061933,-0.0234856737213285,0,0,-0.000767185773696664,0.0545377024777004
0,0,0.0198212907710221,0,-0.0558734284968523,-0.00157468289763874,-0.0182466078733833,0,0,-0.000767399016439657,0.0544497537239706
0,0,-0.0367851521390359,0,-0.0625016090243662,-0.00828127625203036,0.0450664283910663,0,0,-0.00076761141126651,0.0543626973749364
0,0,-0.105390811309894,0,-0.0691137685348622,-0.0150364699513642,0.120427281261258,0,0,-0.000767822860639793,0.0542770253454461
0,0,0,0,-0.075352214247232,-0.0214438533619563,0.0214438533619563,0,0,-0.000768033384099441,0.054193069546491
0,0,0,0,-0.0805813643514739,-0.0268441597305519,0.0268441597305519,0,0,-0.000768243009488697,0.0541110672281017
0,0,0,0,-0.0799350995634995,-0.0262616582232967,0.0262616582232967,0,0,-0.00076845176673345,0.0540311813907568
0,0,0,0,-0.0748590130992852,-0.0211713849112228,0.0211713849112228,0,0,-0.000768659678670339,0.0539535193645179
0,0,0,0,-0.0650003015730363,-0.0112633033131492,0.0112633033131492,0,0,-0.000768866821178435,0.0538781231015765
0,0,0,0,-0.0572747755418277,-0.0035927440964881,0.0035927440964881,0,0,-0.00076907309888597,0.0538050615005735
0,0,0,0,-0.0535889218217562,0,0,0,0,-0.00076927842400955,0.0537343687075794
0,0,0,0,-0.0535238549609858,0,0,0,0,-0.000769482826566139,0.0536660142666411
0,0,0,0,-0.0534610124141182,0,0,0,0,-0.000769686298779347,0.0535999649234463
0,0,0,0,-0.0534003428024334,0,0,0,0,-0.000769888833508412,0.0535361750197902
0,0,0,0,-0.0535876644589734,-0.000243731236685744,0.000243731236685744,0,0,-0.000770090427332696,0.0534745890313622
0,0,0,0,-0.0539637594138185,-0.000672757804227477,0.000672757804227477,0,0,-0.00077029107645523,0.0534151456655794
0,0,0.00156587594170301,0,-0.05414907173963,-0.000910774153031848,-0.000655101788671161,0,0,-0.000770490773246205,0.0533577809452166
0,0,0.000667114156567328,0,-0.0543675575759153,-0.0011799136028778,0.000512799446310478,0,0,-0.000770689513526611,0.0533024276407905
0,0,0.00659960370439108,0,-0.0542251882893652,-0.00108911477175792,-0.00551048893263315,0,0,-0.00077088728983873,0.0532490184930104
0,0,0.00836124262494027,0,-0.0541481946452222,-0.00106141771769983,-0.00729982490724044,0,0,-0.000771084100099108,0.0531974847578143
0,0,0.00993601271471883,0,-0.0540416868243483,-0.00100271336631664,-0.00893329934840219,0,0,-0.000771279941991459,0.0531477585597987
0,0,0.0102612117822074,0,-0.0540650589132383,-0.00107126593209845,-0.00918994585010892,0,0,-0.000771474815594054,0.0530997727490597
0,0,0.0105886028592965,0,-0.0540750843897513,-0.00112500046583494,-0.00946360239346155,0,0,-0.00077166872023978,0.0530534621065867
0,0,0.0112068759215045,0,-0.0540765793198261,-0.00116875272854498,-0.0100381231929596,0,0,-0.00077186165607709,0.0530087632015629
0,0,0.0108413101137773,0,-0.0541962132388107,-0.00132835379038624,-0.00951295632339101,0,0,-0.00077205362518499,0.0529656143282446
0,0,0.0086412541846035,0,-0.0544099971007199,-0.00158011984969762,-0.00706113433490582,0,0,-0.000772244630002876,0.0529239560027491
0,0,-0.0445797873515596,0,-0.0601740216980033,-0.00737095804634564,0.0519507453979052,0,0,-0.000772434673716253,0.0528837309269803
0,0,-0.0340893166521501,0,-0.0655014442418178,-0.0127724400848174,0.0468617567369675,0,0,-0.000772623692132059,0.0528448980088464
0,0,0,0,-0.0703705908485972,-0.0177350539233577,0.0177350539233577,0,0,-0.000772811695580235,0.0528074019905346
0,0,0,0,-0.0744900746267376,-0.0219494700511037,0.0219494700511037,0,0,-0.000772998713901659,0.0527711863508115
0,0,0,0,-0.0760347168506996,-0.0235521751116793,0.0235521751116793,0,0,-0.000773184778744544,0.0527361970930033
0,0,0,0,-0.0724117299832869,-0.0199026405368333,0.0199026405368333,0,0,-0.000773369933445623,0.0527023808545557
0,0,0,0,-0.0631095835883571,-0.0105251875560166,0.0105251875560166,0,0,-0.000773554262578329,0.0526696798303042
0,0,0,0,-0.0552520211740557,-0.00269403488684188,0.00269403488684188,0,0,-0.000773737682723895,0.0526380687353215
