precipitation,delta_surface_storage,delta_storage_canopy,delta_storage_snow,delta_storage_subsurface,evaptranssum,evaporation,surface_runoff,transpiration,deep_drainage,recharge
0,0,4.87894655522704e-11,0,-0.0575238693368192,-0.00846757999705979,0.00846757994827033,0,0,0.00532398651599918,0.0495746108654068
0,0,-1.61490036831981e-11,0,-0.0568337704271471,-0.00778913231404426,0.0071349971015727,0,0.000654135228620557,0.00532089326340255,0.049562476944625
0.004392,0,8.88150718830119e-07,0,-0.0517204790949108,-0.00219747167404254,0.00619922202412468,0,0.000389361499199027,0.00531784393873554,0.0495292803219923
0.000108,0,-8.88183359291986e-07,0,-0.0533625915877565,-0.00437092545120216,0.00432035186764251,0,0.00015946176691894,0.00531483324553679,0.0495045978692566
0,0,3.21616898434604e-12,0,-0.0526051976244162,-0.00364606651602729,0.00362979202453326,0,1.62744882778544e-05,0.00531185814250789,0.0494665963562763
0,0,0.000344728703379119,0,-0.051863155216779,-0.00294790234049115,0.00260317363711204,0,0,0.00530891526072301,0.0494174320294456
0,0,0.00215865583488343,0,-0.0515426720930918,-0.00267714838856533,0.000518492553681893,0,0,0.00530600143556121,0.0493587530072064
0,0,0.00230084353400798,0,-0.0514499760001854,-0.00264002546739393,0.000339181933385957,0,0,0.00530311380548684,0.0492921232845145
0,0,0.00236985751112343,0,-0.0513359434744416,-0.00258785983311857,0.000218002321995142,0,0,0.00530024978990805,0.0492190769251249
0,0,-0.00277600101545742,0,-0.0515217894785565,-0.00283843208284533,0.00557612017461556,0,3.83129236871912e-05,0.00529740696227754,0.0491410725926819
0,0,-0.00439808457115271,0,-0.0521201570363701,-0.00350237586354362,0.00778216395394632,0,0.000118296480750003,0.00529458304959827,0.0490594438462047
0,0,1.63045884441736e-11,0,-0.0531334615388914,-0.00457875339318152,0.00457848754334758,0,2.65833529350813e-07,0.00529177603478614,0.0489753662885802
0.000108,0,1.56167178516922e-09,0,-0.0542037972277285,-0.00571855446931398,0.00539126456876272,0,0.00043528833887948,0.00528898389459917,0.04888985238097
0.000792,0,-1.57797637282756e-09,0,-0.0795639638076864,-0.0310493540527546,0.00777520536841248,0,0.0240661502623185,0.00528618324088349,0.0488035409314082
0.034092,0,4.00349865843095e-19,0,-0.0844537642342402,-0.0357817022946902,0.0159581165567351,0,0.0539155857379551,0.00528336746201269,0.0486787450819046
0,0,1.70595365495538e-10,0,-0.103423945492978,-0.0548497564057368,0.0269613964708955,0,0.0278883597642459,0.00528054751225927,0.0485881129644825
0,0,-5.90515517344056e-11,0,-0.218310789820407,-0.169824190947411,0.0296657671737936,0,0.140158423832669,0.00527764609483405,0.048499984963056
0.028188,0,-1.11543812998643e-10,0,-0.211142565657156,-0.162759384447314,0.0398949077576707,0,0.151052476801187,0.00527466204607984,0.048408233026312
0.027288,0,9.12569683119921e-18,0,-0.258288023640489,-0.209968113906909,0.051455669687141,0,0.185800444219768,0.00527157784108405,0.0483235311146081
0.027612,0,-3.259177439714e-18,0,-0.253463928265774,-0.205289400221071,0.0476207120795436,0,0.185280688141527,0.0052684015770731,0.0482478767992815
0.008208,0,-7.80586138656019e-18,0,-0.258223500271924,-0.210064659160206,0.0379651488222839,0,0.180307510337922,0.00526514382702761,0.0481709717031074
0.025308,0,-9.85638338623186e-21,0,-0.206338235072053,-0.158271283869406,0.0330826129086106,0,0.150496670960796,0.00526183122837637,0.0480955266939395
0,0,2.62046226963652e-10,0,-0.0884709459000987,-0.0405519990798053,0.0405519988177591,0,0,0.00525857087859439,0.0480222814489979
0,0,-1.74304353146377e-10,0,-0.0586851578791538,-0.0110927395106176,0.00952121238852575,0,0.00157152729639622,0.00525535252108018,0.0479705636700773
0,0,-4.92962802261052e-11,0,-0.0558479914066083,-0.00832731231622297,0.00757352792294332,0,0.00075378444257593,0.00525217773687048,0.0479112221863845
0.000396,0,3.69417556566754e-08,0,-0.0546528048662367,-0.00719001026182016,0.0071498473826357,0,0.000436125937428797,0.00524904216501105,0.0478497227286385
0.029916,0,5.18547179764935e-05,0,-0.0270976051756406,0.0206071619408014,0.00916798379512982,0,8.89995460922825e-05,0.00524594582696748,0.0477670780288938
0,0,0.00811633042096938,0,-0.0523681366939854,-0.00501861604056645,-0.00309771438040293,0,0,0.00524287800952183,0.0477170687907716
0,0,0.0114181077851354,0,-0.0519247701631684,-0.00462360846547185,-0.00679449931966356,0,0,0.00523983923684112,0.0476625193003745
0,0,0.0141480202472214,0,-0.0514332081361317,-0.00418134621856275,-0.00996667402865861,0,0,0.00523682661250615,0.0476070898343938
0,0,-0.00181904835518255,0,-0.0515569487574794,-0.00434876505840801,0.00616020793946582,0,7.60547412475062e-06,0.00523383732612305,0.0475522207794328
0,0,-0.00205994808537678,0,-0.0513565218493568,-0.00419370293217244,0.00624509577339296,0,8.55524415625411e-06,0.00523086896161731,0.0474984854349807
0,0,-0.00239796301355831,0,-0.0511895886666025,-0.00407080351376654,0.00645870894209301,0,1.00575852318235e-05,0.00522791922540143,0.0474461050113408
0,0,-0.00871787645541789,0,-0.0513488132623934,-0.00427086548283119,0.0129513506040549,0,3.73913341942275e-05,0.00522498594303721,0.0473951535966007
0,0,-0.007266934951866,0,-0.0508305065718559,-0.00379753121219214,0.0110175403192814,0,4.69258447767533e-05,0.00522206728466101,0.0473456444987532
0,0,-0.00561528602066238,0,-0.0503735461093129,-0.00338364519406588,0.00894061894703482,0,5.83122676934455e-05,0.00521916143039762,0.047297559448952
0,0,-0.00359680593423771,0,-0.0499125773308151,-0.00296446496225649,0.0064933656519046,0,6.79052445896078e-05,0.00521626671572532,0.0472508666914125
0,0,-0.00226048733520227,0,-0.08354780478885,-0.0364750077182681,0.00991605435598888,0,0.0288194406974815,0.00521335485361816,0.0472053923216494
